run_id,scenario_id,model,condition,pair_id,metric,value,attribute_exposed,inputs_identical
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.5206234731544974,False,True
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8943730592727661,False,True
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.7222222222222223,False,True
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.4314926970266727,False,True
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8429131507873535,False,True
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.5818181818181819,False,True
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.44733790783871763,False,True
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8070788383483887,False,True
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.6206896551724138,False,True
FINAL_V4_GEMINI37,S004,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.47294964021565244,False,True
FINAL_V4_GEMINI37,S004,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.72491455078125,False,True
FINAL_V4_GEMINI37,S004,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.6588235294117647,False,True
FINAL_V4_GEMINI37,S005,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.26750277135351413,False,True
FINAL_V4_GEMINI37,S005,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8063000440597534,False,True
FINAL_V4_GEMINI37,S005,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.6170212765957447,False,True
FINAL_V4_GEMINI37,S006,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.5543628311642381,False,True
FINAL_V4_GEMINI37,S006,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.842552125453949,False,True
FINAL_V4_GEMINI37,S006,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.7843137254901961,False,True
FINAL_V4_GEMINI37,S007,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.30007504691018483,False,True
FINAL_V4_GEMINI37,S007,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8378778100013733,False,True
FINAL_V4_GEMINI37,S007,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.3888888888888889,False,True
FINAL_V4_GEMINI37,S008,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,1.0,False,True
FINAL_V4_GEMINI37,S008,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,1.0000001192092896,False,True
FINAL_V4_GEMINI37,S008,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,1.0,False,True
FINAL_V4_GEMINI37,S009,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.41914149934824935,False,True
FINAL_V4_GEMINI37,S009,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.9119737148284912,False,True
FINAL_V4_GEMINI37,S009,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.6666666666666666,False,True
FINAL_V4_GEMINI37,S010,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.2992897998610715,False,True
FINAL_V4_GEMINI37,S010,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.7882969379425049,False,True
FINAL_V4_GEMINI37,S010,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.49462365591397844,False,True
FINAL_V4_GEMINI37,S011,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.34952892243025707,False,True
FINAL_V4_GEMINI37,S011,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8924750685691833,False,True
FINAL_V4_GEMINI37,S011,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.54320987654321,False,True
FINAL_V4_GEMINI37,S012,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.2898025895208297,False,True
FINAL_V4_GEMINI37,S012,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8044947981834412,False,True
FINAL_V4_GEMINI37,S012,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.5454545454545454,False,True
FINAL_V4_GEMINI37,S013,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.499679807464277,False,True
FINAL_V4_GEMINI37,S013,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8858565092086792,False,True
FINAL_V4_GEMINI37,S013,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.6736842105263158,False,True
FINAL_V4_GEMINI37,S014,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.32604657882055565,False,True
FINAL_V4_GEMINI37,S014,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.7245019674301147,False,True
FINAL_V4_GEMINI37,S014,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.5454545454545454,False,True
FINAL_V4_GEMINI37,S015,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.5394425736926735,False,True
FINAL_V4_GEMINI37,S015,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8846514821052551,False,True
FINAL_V4_GEMINI37,S015,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.8,False,True
FINAL_V4_GEMINI37,S016,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.36702040341114706,False,True
FINAL_V4_GEMINI37,S016,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8073027729988098,False,True
FINAL_V4_GEMINI37,S016,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.5084745762711865,False,True
FINAL_V4_GEMINI37,S017,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.7098232254187811,False,True
FINAL_V4_GEMINI37,S017,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.8981772661209106,False,True
FINAL_V4_GEMINI37,S017,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,rouge_l,0.8421052631578947,False,True
FINAL_V4_GEMINI37,S018,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,bleu,0.16450690104082205,False,True
FINAL_V4_GEMINI37,S018,gemini-3.7-flash,C_MASKED,MASKED_REPLICATES,cosine_similarity,0.7783132791519165,False,True
