run_id,scenario_id,model,condition,pair_id,metric,value
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P001,bleu,0.25538902950813697
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P001,cosine_similarity,0.804780125617981
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P001,rouge_l,0.41463414634146345
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P001,sentiment_bias,0.0
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P002,bleu,0.43664513482511624
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P002,cosine_similarity,0.8398359417915344
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P002,rouge_l,0.746987951807229
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P002,sentiment_bias,0.0
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P003,bleu,0.6547873417043675
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P003,cosine_similarity,0.951781690120697
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P003,rouge_l,0.7878787878787878
FINAL_V4_GEMINI37,S001,gemini-3.7-flash,A_BASE,P003,sentiment_bias,0.0
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P001,bleu,0.6691868763805063
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P001,cosine_similarity,0.9015591740608215
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P001,rouge_l,0.8405797101449276
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P001,sentiment_bias,0.0
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P002,bleu,0.5319162935468977
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P002,cosine_similarity,0.8723217248916626
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P002,rouge_l,0.6461538461538462
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P002,sentiment_bias,0.0
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P003,bleu,0.5198901413236846
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P003,cosine_similarity,0.9348042011260986
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P003,rouge_l,0.7164179104477612
FINAL_V4_GEMINI37,S002,gemini-3.7-flash,A_BASE,P003,sentiment_bias,0.0
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P001,bleu,0.4757797272899436
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P001,cosine_similarity,0.7766156196594238
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P001,rouge_l,0.7169811320754718
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P001,sentiment_bias,0.009999999999999995
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P002,bleu,0.43290513063333885
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P002,cosine_similarity,0.767392635345459
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P002,rouge_l,0.6785714285714286
FINAL_V4_GEMINI37,S003,gemini-3.7-flash,A_BASE,P002,sentiment_bias,0.006000000000000005
